Pilar,Fuente(s) original(es),Nº fuentes,Nº chunks,Media (palabras),Mediana (palabras),Desv. típica
P1 — Protocolos de actuación,Guía Actuación Madrid (2015-2016); RedesConCorazón (2019); SEMA-Red.es Guía Clínica (2015),3,8,174.9,169.0,22.0
P2 — TCC y regulación emocional,Hendricks TF-CBT Workbook (2019); PNUD/Integra Guía PAP (2022); SEPSM Protocolo TCC (2022),3,9,165.0,154.0,30.4
P3 — Esperanza y contranarrativa,DSP Manual Contranarrativas; Hendricks TF-CBT Workbook (2019); O'Hara Hope-focused Therapy (2025); Snyder Hope Theory (1994/2002),4,8,157.2,152.5,22.3
P4 — PAP y recursos de crisis,PNUD/Integra Guía PAP (2022); RedesConCorazón (2019); SEMA-Red.es Guía Clínica (2015),3,8,142.5,144.5,27.5
P5 — Autodefensa digital,AEPD Canal Joven; Autodefensa Digital (2025); Guía Actuación Madrid (2015-2016); Guías Plataformas (Meta/TikTok/Discord/Roblox); INCIBE Recursos Menores; PantallasAmigas; RedesConCorazón (2019); SEMA-Red.es Guía Clínica (2015),8,7,177.7,178.0,17.0
TOTAL,(14 fuentes distintas),14,40,163.2,159.0,27.6
